Rank,cell_type,tissue,n_cells,Uber Score,Functional,Viability,Exosome,Mito Health,Rab Traffic,MDV,TNT,Adhesion,Metabolism,MV Form.,Shedding,Activation,Exosome_norm,Mito Health_norm,Rab Traffic_norm,MDV_norm,TNT_norm,Adhesion_norm,Metabolism_norm,MV Form._norm,Shedding_norm,Activation_norm,Viability
41,neutrophil,right ovary,10,0.5367213994504133,0.36216354666393274,0.7454077431001622,0.5927963852882385,0.0807720199227333,0.6484254002571106,0.08412355929613113,0.7384656667709351,0.44888579845428467,1.1516516208648682,0.7689279913902283,0.8776196837425232,0.08621256053447723,0.41890971726602655,0.11917199173808167,0.5393918999188243,0.10217130259876912,0.5418181010325132,0.2726009981084935,0.8187063703180918,0.6417056111376129,0.4562986912571041,0.04078498175624996,0.7454077431001622
42,T cell,heart,1,0.5366431666096464,0.28501619459016675,0.9300255219761118,0.5992467403411865,0.08994162827730179,0.2943379580974579,0.4331749975681305,0.5824269652366638,0.35791507363319397,0.635004997253418,0.10118433088064194,0.26982489228248596,0.20848184823989868,0.42346797112613077,0.13270094015508818,0.24484468124392247,0.5261077173275285,0.4273312714381688,0.21735596591929185,0.4514235268863459,0.0844429564437078,0.14028940724306807,0.09862748912988309,0.9300255219761118
43,intermediate monocyte,subcutaneous adipose tissue,9,0.5365148361609545,0.46360849957857747,0.7346604579460674,0.7739269733428955,0.19455479085445404,0.6439512968063354,0.4564359784126282,0.8307387232780457,0.7303673624992371,0.9287603497505188,0.6856521964073181,1.0353477001190186,0.9556319713592529,0.5469087491651689,0.28704843521915746,0.535670122271326,0.5543590744086195,0.6095195724790612,0.44354014470661957,0.6602535012008027,0.5722081477719452,0.5383058394334762,0.45208531420418335,0.7346604579460674
44,colon macrophage,sigmoid colon,149,0.5360948378246986,0.494704623589973,0.6734059139182655,0.8344763517379761,0.3400808870792389,0.538078784942627,0.514522910118103,0.9057310819625854,0.8574602007865906,0.7607791423797607,0.4816654920578003,1.0146852731704712,0.870110273361206,0.58969700431248,0.5017593555795167,0.44760019888353114,0.6249078900551664,0.6645420592414826,0.5207215451627587,0.5408360644720778,0.4019719042689773,0.5275628734888065,0.41162716203946514,0.6734059139182655
45,neutrophil,muscle of pelvic diaphragm,25,0.5327846998879537,0.3553115365092524,0.7721489330258767,0.6367881894111633,0.13281714916229248,0.6728829741477966,0.0689278095960617,0.6390117406845093,0.3453567922115326,1.0556565523147583,0.6017646193504333,0.6836493015289307,0.14921791851520538,0.449997279006465,0.1959599898304569,0.5597369037435839,0.08371547935720126,0.46884796877436713,0.2097295271639101,0.7504637067232836,0.5022001242575265,0.35544813698367783,0.07059122297979371,0.7721489330258767
46,neutrophil,crista ampullaris,3,0.5325302966459581,0.3074943600003641,0.8276231553947849,0.5271791815757751,0.04339281842112541,0.4086190164089203,0.07127956300973892,0.8624693751335144,0.5964500308036804,0.6584346890449524,0.823328971862793,0.54444819688797,0.0,0.3725401965719862,0.06402227656707392,0.3399092440184707,0.08657177445071561,0.6328006027374208,0.3622143411059232,0.4680796384888402,0.6871057198753844,0.28307364146376157,0.0,0.8276231553947849
47,macrophage,anterior segment of eyeball,3,0.5322895252070042,0.4650751367823162,0.7134837881332015,0.5963838696479797,0.38556158542633057,0.7320563197135925,0.25969037413597107,0.8286826610565186,0.6353442668914795,1.1679662466049194,0.41704416275024414,0.5488579273223877,0.6943379044532776,0.42144487452428947,0.5688621148375692,0.6089601810498583,0.31540396079097094,0.6080110233635095,0.3858341740672487,0.8303043985592231,0.34804244653021554,0.28536638200194187,0.32847370023855044,0.7134837881332015
48,intermediate monocyte,trachea,16,0.5320814214076844,0.5167863573242246,0.6329442055079207,0.8597873449325562,0.22781266272068024,0.6301493048667908,0.4640893042087555,0.946364164352417,0.8684328198432922,1.2280491590499878,0.7177533507347107,1.2697662115097046,0.9974360466003418,0.607583451102651,0.3361174919922763,0.5241889516509535,0.563654333339004,0.694354873201844,0.527385037117775,0.8730171966613963,0.5989980306823569,0.6601864922213301,0.4718617648219895,0.6329442055079207
49,neutrophil,left ovary,7,0.5319728204527259,0.3578812825208482,0.7600929774962082,0.7153666615486145,0.052982643246650696,0.5698792934417725,0.13709045946598053,0.7878283858299255,0.4081699848175049,0.9585826396942139,0.7276334166526794,0.780645489692688,0.15707015991210938,0.5055261019939575,0.0781712173261436,0.4740534141507576,0.16650164275856028,0.5780359184691631,0.24787495091696946,0.6814540954708309,0.6072433980105862,0.40587913179376583,0.07430591977261576,0.7600929774962082
50,intermediate monocyte,brown adipose tissue,10,0.5317440764302106,0.431839682982805,0.7230506766326812,0.6500172019004822,0.3046429455280304,0.6351118087768555,0.2935619354248047,0.6787513494491577,0.6421552300453186,0.8518878221511841,0.6070147156715393,0.6829230189323425,0.5338724851608276,0.45934578722807756,0.44947379825663214,0.5283170046410784,0.3565422764648458,0.49800523406848374,0.3899703605097917,0.6056050060241408,0.5065815699923545,0.35507052262013855,0.25256156913168776,0.7230506766326812
51,neutrophil,endometrium,41,0.5315759268786042,0.36843266487359405,0.7834133768057905,0.6597499251365662,0.1109335869550705,0.7962949275970459,0.1388597935438156,0.5242476463317871,0.8462472558021545,0.8324050307273865,0.4515816271305084,0.9823831915855408,0.4720200300216675,0.4662235827751506,0.16367272380623732,0.6623969908057024,0.1686505671380963,0.38464464495457995,0.5139121072054468,0.5917547364102596,0.37686554171655456,0.5107681299055391,0.22330073708133835,0.7834133768057905
52,mononuclear phagocyte,stomach,3182,0.5314312754821892,0.4552080407016073,0.7172646969629554,0.7353333830833435,0.28470173478126526,0.6470765471458435,0.4729979336261749,0.7854906320571899,0.7189911603927612,0.7041645050048828,0.487515926361084,0.9183910489082336,0.8067681193351746,0.5196359276953674,0.4200523005073603,0.5382698580584818,0.5744742068627021,0.5763206900342871,0.43663156337125997,0.5005888547844356,0.4068543595340293,0.4774968490816239,0.3816615911256986,0.7172646969629554
53,monocyte,small intestine,11,0.5313196161621148,0.4590422471329759,0.696113173864899,0.7210602164268494,0.25656047463417053,0.5331677794456482,0.4396449029445648,0.8779842853546143,0.7917291522026062,0.9621561169624329,0.5640723705291748,0.9502312541007996,0.735529899597168,0.5095495500504437,0.3785323530681742,0.4435149847872345,0.5339656665813646,0.6441840150908265,0.4808041552332646,0.6839944718751819,0.4707442170258678,0.4940514503831461,0.34796059124412787,0.696113173864899
54,monocyte,left ovary,2,0.5309946880316547,0.490645440288221,0.8392658279537114,0.6442426443099976,0.3728891611099243,0.474472314119339,0.5554483532905579,0.9940951466560364,0.677950382232666,1.055909514427185,0.5152575969696045,0.4094001352787018,1.5765010118484497,0.4552650972178136,0.5501650703984071,0.39468923159122493,0.674613416941425,0.7293754724739094,0.4117081705436952,0.7506435368812416,0.4300060536993475,0.21285842761812884,0.7458027531990007,0.8392658279537114
55,monocyte,cornea,2,0.5308112754577621,0.4452843098407499,0.7374676202353517,0.6201515793800354,0.16421374678611755,0.5079346895217896,0.6028479337692261,0.5746745467185974,0.9184918403625488,1.4066723585128784,0.4755549132823944,0.6116184592247009,0.710616409778595,0.43824073362703214,0.2422829006132945,0.4225248688703443,0.7321820329232198,0.421643260649211,0.557785060920873,1.0,0.39687234653225495,0.3179973143979693,0.3361746493647115,0.7374676202353517
56,monocyte,duodenum,16,0.5299926484989799,0.4622316601691636,0.6763189027874946,0.8015115857124329,0.24558313190937042,0.5281673669815063,0.5604206323623657,0.8255250453948975,0.7092252969741821,0.8824338912963867,0.44703420996665955,0.9813992977142334,0.6833212971687317,0.5664018878809138,0.36233625202034364,0.43935539761137465,0.6806524413705135,0.6056942557755849,0.4307009143632874,0.6273201331895709,0.3730705139078395,0.5102565763315594,0.3232620219827319,0.6763189027874946
57,neutrophil,adipose tissue,858,0.5295394224431323,0.37040836537353095,0.743033850489165,0.6733769774436951,0.1207452043890953,0.6952131390571594,0.0769963338971138,0.7210730910301208,0.4242698550224304,0.8680936694145203,0.7805912494659424,0.8531934022903442,0.23301555216312408,0.4758533726504263,0.17814889999823239,0.5783122249311652,0.09351501286227287,0.5290570306348081,0.2576521385722543,0.6171257039075263,0.6514391339578708,0.44359879349344267,0.11023376390839212,0.743033850489165
